ID_Transaksi,ID_Pengguna,ID_Produk,Waktu_Transaksi,Jumlah_Transaksi,Metode_Pembayaran,Alamat_Pengiriman,Kategori_Produk,Penilaian_Produk,Total_Harga
T00001,U2824,P125,2024-10-21,5,Kartu Debit,"Jalan Merdeka No. 181, Bandung, Bali 33890",Peralatan Rumah,2,4548955
T00002,U9935,P189,2024-09-20,10,Cash on Delivery (COD),"Gg. Kutai No. 02, Makassar, Kepulauan Riau 35116",Kesehatan,1,8359720
T00003,U4582,P338,2024-03-24,9,E-Wallet,"Jalan Erlangga No. 1, Bau-Bau, LA 93103",Makanan,2,41591700
T00004,U7873,P325,2024-12-12,8,Virtual Account,"Jl. Sukabumi No. 75, Medan, NT 41928",Kesehatan,2,28761168
T00005,U6574,P384,2024-11-25,3,Kartu Debit,"Gang Pasteur No. 8, Tangerang Selatan, Maluku Utara 30564",Elektronik,1,2484024
T00006,U7224,P199,2024-03-12,6,QRIS,"Gg. Suniaraja No. 7, Kota Administrasi Jakarta Selatan, Jawa Barat 88496",Makanan,3,2486928
T00007,U8527,P649,2025-01-29,2,Cash on Delivery (COD),"Jl. Monginsidi No. 10, Bukittinggi, JI 91669",Kesehatan,5,5018714
T00008,U6925,P691,2024-08-15,4,Transfer Bank,"Gg. H.J Maemunah No. 14, Cilegon, SG 48281",Kesehatan,2,9910248
T00009,U2307,P975,2025-01-19,4,Transfer Bank,"Gg. Jamika No. 8, Serang, MU 01543",Fashion,3,15413924
T00010,U6977,P266,2024-03-09,6,QRIS,"Gg. Cikutra Timur No. 2, Surabaya, Sulawesi Utara 48963",Peralatan Rumah,3,3893802
T00011,U3803,P646,2025-02-10,4,Kartu Kredit,"Gang Cempaka No. 7, Kota Administrasi Jakarta Barat, Kalimantan Timur 50983",Fashion,4,9257944
T00012,U4598,P801,2024-10-01,6,E-Wallet,"Jl. Moch. Ramdan No. 051, Kota Administrasi Jakarta Utara, Sumatera Barat 82997",Peralatan Rumah,1,16177266
T00013,U7572,P374,2024-05-20,2,Kartu Debit,"Jl. Dipenogoro No. 6, Pagaralam, SR 01065",Makanan,3,3667280
T00014,U9179,P505,2024-12-22,8,Kartu Kredit,"Jl. Jayawijaya No. 26, Kota Administrasi Jakarta Utara, Sulawesi Tenggara 17810",Elektronik,2,16950888
T00015,U9830,P369,2024-10-26,10,Cash on Delivery (COD),"Jl. Tubagus Ismail No. 73, Banjarmasin, Jawa Timur 06474",Makanan,4,30866460
T00016,U4593,P241,2024-07-29,9,Kredivo,"Gg. Lembong No. 980, Banjarmasin, BE 88208",Kesehatan,1,8728227
T00017,U3504,P742,2024-03-18,3,Cash on Delivery (COD),"Jl. Surapati No. 939, Solok, DKI Jakarta 99854",Makanan,1,9832986
